timestamp;sensor_id;value;unit
2025-06-09 14:39:14;1;21.14;°C
2025-06-09 14:39:14;2;45.26;%
2025-06-09 14:39:14;3;994.16;hPa
2025-06-09 14:39:14;4;947.47;lux
2025-06-09 14:39:24;1;21.46;°C
2025-06-09 14:39:24;2;44.39;%
2025-06-09 14:39:24;3;994.56;hPa
2025-06-09 14:39:24;4;946.82;lux
2025-06-09 14:39:34;1;22.32;°C
2025-06-09 14:39:34;2;45.0;%
2025-06-09 14:39:34;3;995.5;hPa
2025-06-09 14:39:34;4;949.09;lux
2025-06-09 14:39:44;1;23.12;°C
2025-06-09 14:39:44;2;45.26;%
2025-06-09 14:39:44;3;994.77;hPa
2025-06-09 14:39:44;4;947.22;lux
2025-06-09 14:48:49;1;33.78;°C
2025-06-09 14:48:49;2;45.17;%
2025-06-09 14:48:49;3;990.79;hPa
2025-06-09 14:48:49;4;972.15;lux
